Transaction_ID,Customer_ID,Age_Group,Gender,City,Product_Category,Units_Sold,Price,Total_Spend,IoT_Feature_Used,Device_Connectivity,Carbon_Footprint_gCO2,Purchase_Date
TX000001,C4347,55+,Prefer not to say,Jaipur,AR Glasses,1,322.8,322.8,No,NA,145.78,23-06-2022
TX000002,C5993,35-44,Non-binary,Mumbai,IoT Sneakers,1,169.86,169.86,Yes,WiFi,428.63,21-11-2021
TX000003,C4264,55+,Male,Pune,Smart Jacket,1,431.4,431.4,Yes,Bluetooth,231.48,14-03-2021
TX000004,C3399,55+,Female,Jaipur,IoT Sneakers,1,204.3,204.3,Yes,Bluetooth,111.03,04-03-2022
TX000005,C6597,45-54,Non-binary,Pune,Smartwatch,1,171.42,171.42,Yes,5G,181.54,23-07-2022
TX000006,C4674,55+,Male,Ahmedabad,RFID Apparel,1,92.47,92.47,Yes,WiFi,102.31,19-10-2024
TX000007,C3362,18-24,Prefer not to say,Kolkata,IoT Sneakers,1,129.25,129.25,Yes,WiFi,169.27,08-09-2021
TX000008,C7602,55+,Female,Pune,Smartwatch,1,274.08,274.08,No,NA,318.1,19-03-2020
TX000009,C1625,18-24,Non-binary,Mumbai,Smart Jacket,1,437.98,437.98,Yes,Bluetooth,348.65,07-12-2023
TX000010,C8140,18-24,Female,Delhi,Smartwatch,1,163.29,163.29,Yes,WiFi,472.48,09-05-2020
TX000011,C5534,25-34,Prefer not to say,Hyderabad,IoT Sneakers,1,135.99,135.99,Yes,Bluetooth,308.18,13-09-2020
TX000012,C5869,45-54,Non-binary,Bengaluru,IoT Sneakers,1,203.4,203.4,Yes,WiFi,364.88,24-05-2024
TX000013,C1189,25-34,Non-binary,Pune,RFID Apparel,1,125.49,125.49,Yes,WiFi,269.44,02-10-2020
TX000014,C7007,45-54,Male,Hyderabad,Smartwatch,1,236.86,236.86,Yes,NFC,274.57,25-07-2021
TX000015,C5564,25-34,Prefer not to say,Chennai,Smart Hat,1,51.4,51.4,Yes,Bluetooth,454.88,12-11-2022
TX000016,C4012,55+,Female,Lucknow,IoT Sneakers,1,165.9,165.9,Yes,NFC,471.11,15-03-2023
TX000017,C7946,45-54,Male,Bengaluru,Smart Jacket,1,374.74,374.74,Yes,WiFi,164.51,14-11-2024
